"id","committer","comunity","star","watcher","pull_request","dpdp","pdp"
"108551","13","52","261","83","34","FALSE","TRUE"
"51058","11","13","99","99","34","FALSE","TRUE"
"53504","40","46","221","104","34","FALSE","TRUE"
"28867","28","82","258","218","34","TRUE","TRUE"
"90468","11","13","13","11","33","FALSE","TRUE"
"199836","25","25","91","73","32","FALSE","FALSE"
"123435","15","29","316","118","32","FALSE","FALSE"
"65838","28","53","156","125","31","TRUE","TRUE"
"19730","28","44","231","131","29","TRUE","TRUE"
"54895","4","4","20","14","28","FALSE","TRUE"
"129180","36","40","50","48","27","FALSE","TRUE"
"92288","16","37","67","60","26","TRUE","TRUE"
"89742","29","37","335","298","24","TRUE","TRUE"
"2768","17","18","8","7","23","TRUE","TRUE"
"82074","31","63","313","235","23","TRUE","TRUE"
"52291","19","29","1247","650","23","TRUE","TRUE"
"132288","21","25","32","22","22","TRUE","TRUE"
"8866","33","147","4243","2556","22","TRUE","TRUE"
"171527","4","4","29","17","21","TRUE","TRUE"
"29402","16","35","172","146","21","TRUE","TRUE"
"31259","44","68","239","189","21","TRUE","TRUE"
"84347","7","7","35","36","20","TRUE","TRUE"
"199275","18","26","20","21","19","TRUE","TRUE"
"68327","6","6","7","7","19","FALSE","FALSE"
"30129","34","45","159","101","19","TRUE","TRUE"
"53565","42","42","0","3","18","FALSE","TRUE"
"25624","24","27","870","555","18","TRUE","TRUE"
"37941","24","24","49","42","17","FALSE","TRUE"
"7895","7","9","2","3","17","TRUE","TRUE"
"10681","10","17","78","72","17","TRUE","TRUE"
"43593","19","33","420","280","17","TRUE","TRUE"
"51787","16","25","122","117","17","TRUE","TRUE"
"25926","8","15","573","71","16","TRUE","TRUE"
"29007","11","12","44","47","16","TRUE","TRUE"
"102011","22","34","89","79","15","TRUE","TRUE"
"51160","20","45","25","25","15","TRUE","TRUE"
"29323","22","84","152","135","15","TRUE","TRUE"
"137570","6","7","2","2","14","FALSE","TRUE"
"39279","15","19","252","159","14","TRUE","TRUE"
"176622","26","41","192","142","14","FALSE","TRUE"
"177361","7","9","64","53","14","FALSE","TRUE"
"203312","4","6","37","27","13","TRUE","TRUE"
"40322","21","44","24","20","13","TRUE","TRUE"
"44524","39","41","7","6","13","TRUE","TRUE"
"117017","19","86","161","152","13","TRUE","TRUE"
"12038","21","22","156","89","12","TRUE","TRUE"
"13685","14","25","194","139","12","TRUE","TRUE"
"180037","11","31","80","63","12","TRUE","TRUE"
"182655","18","21","50","37","12","TRUE","TRUE"
"131063","5","10","28","35","12","TRUE","TRUE"
"204695","8","15","59","52","11","TRUE","TRUE"
"204869","8","12","13","12","11","TRUE","TRUE"
"44382","8","16","5","6","11","FALSE","FALSE"
"61663","59","77","670","508","11","FALSE","FALSE"
"164108","11","18","244","199","10","TRUE","TRUE"
"131732","15","25","35","36","10","TRUE","TRUE"
"22282","14","39","302","225","10","TRUE","TRUE"
"27039","15","33","115","104","10","TRUE","TRUE"
"59884","9","11","5","9","10","TRUE","FALSE"
"126928","4","6","6","5","10","FALSE","FALSE"
"195796","4","7","52","53","10","TRUE","TRUE"
"168190","5","5","0","35","9","FALSE","FALSE"
"105973","9","12","10","11","9","TRUE","TRUE"
"206975","5","10","220","95","9","TRUE","TRUE"
"10437","8","15","160","145","9","TRUE","TRUE"
"11684","17","23","823","497","9","TRUE","TRUE"
"81255","4","4","114","97","9","TRUE","TRUE"
"19721","8","25","193","135","9","TRUE","TRUE"
"54529","11","11","59","50","9","TRUE","TRUE"
"25642","4","26","57","48","9","TRUE","TRUE"
"40590","14","17","5","8","8","FALSE","TRUE"
"179425","4","6","22","17","8","TRUE","TRUE"
"148720","11","11","22","21","8","FALSE","FALSE"
"23320","54","76","1680","1281","8","FALSE","TRUE"
"24996","16","17","136","107","8","TRUE","TRUE"
"193139","10","16","208","124","8","TRUE","TRUE"
"64455","20","44","362","265","8","TRUE","TRUE"
"33192","4","8","651","81","7","TRUE","TRUE"
"35763","35","35","9","12","7","TRUE","FALSE"
"199651","4","4","1","1","7","TRUE","FALSE"
"72571","4","5","30","25","7","TRUE","TRUE"
"203645","6","6","19","9","7","TRUE","TRUE"
"23783","5","8","115","92","7","TRUE","TRUE"
